rank,ts_code,name,trade_date,fin_end_date,ind_end_date,close,mkt_cap_yuan,pe_ttm,pb,ps_ttm,dv_ttm,revenue,net_profit,revenue_yoy,net_profit_yoy,revenue_cagr_3y,net_profit_cagr_3y,roe,roic,grossprofit_margin,ocf_to_profit,debt_to_assets,current_ratio,cfo_np_ratio,net_cash_to_mcap,growth_score,quality_score,valuation_score,risk_score,total_score,focus_flag
11,603893.SH,瑞芯微,20260421,20241231,20250930,174.33,73391988618.0,70.5725,17.2335,16.6721,0.5447,3136370678.42,594862210.27,0.46935494792072663,3.410142079664827,0.04880297643769005,-0.003845781563922901,20.029,18.8039,41.7721,100.5867,17.0845,5.3384,2.318828740800187,0.028229336366719895,63.96256684491979,77.8235294117647,42.594064652888186,52.352941176470594,62.798759454641804,1
12,688279.SH,峰岹科技,20260421,20251231,20250930,179.2,20628443136.0,94.2215,4.0496,26.655,0.4288,773904376.96,218935518.04,0.2891429619502892,-0.015410861163080769,0.33815696263874817,0.15524671509523902,4.448,4.3587,51.7479,101.0815,2.8623,32.3757,1.042526512752942,0.01453345798194511,63.36078431372548,57.882352941176464,49.814520402755704,83.72549019607843,61.788786433492305,1
13,688380.SH,中微半导,20260421,20251231,20250930,46.42,18584943300.0,65.3982,5.8491,16.5619,0.5365,1122150053.86,284181478.86,0.23089376343076373,1.0768357507387125,0.20786217617240688,0.6871231524571255,5.0434,4.8017,33.6205,136.854,13.4767,7.2574,0.9165890535333672,0.008183095079983375,75.95508021390374,54.37254901960784,58.04186539480657,55.09803921568628,61.68999518234812,1
14,688099.SH,晶晨股份,20260421,20251231,20250930,86.04,36237089343.0,41.5094,4.9329,5.3343,,6793233578.35,872984327.35,0.14628283858611413,0.06212628145921717,0.07002493903627127,0.0630613449585562,10.287,9.1389,37.1226,-40.5231,13.7053,6.0028,-0.2631592041490274,0.07154739870162426,49.673440285205004,58.509803921568626,82.08797032326444,64.90196078431373,61.533351640410466,1
15,300458.SZ,全志科技,20260421,20251231,20250930,38.91,32117379434.000004,122.5234,10.312,11.3171,0.4929,2837953858.57,262132646.57,0.2404138829096918,0.5720494787222468,0.23295487018468441,0.07490949706161643,9.0992,7.632,32.8505,94.7957,18.0248,4.4092,1.081877009028971,0.04480859995901494,64.41105169340464,63.05882352941177,44.66083730789613,53.333333333333336,58.32607120489473,1
16,688041.SH,海光信息,20260421,20241231,20250930,252.55,587011584882.0,215.3309,24.982,36.6645,0.1027,9162148135.92,1930990510.51,0.5239769916112884,0.5286757628290966,0.5828353892060956,0.8072947965310702,9.3075,10.1568,60.0972,79.4094,24.1243,3.3593,0.5059999445838499,0.010389042064094712,87.0541889483066,64.7843137254902,16.812400635930043,36.666666666666664,57.653246615599556,1
17,603986.SH,兆易创新,20260421,20251231,20250930,306.27,214726647668.0,130.2935,9.0305,23.3311,0.1103,9203463124.58,1648022651.7,0.25115430314843423,0.4947470966105123,0.04220634267702206,-0.07055894681512564,6.2446,4.9479,38.5883,159.624,11.352,6.3421,1.2915503377907849,0.041849166640387944,50.05204991087344,67.05882352941175,38.89772125066242,68.82352941176471,56.58927687045335,1
18,300613.SZ,富瀚微,20260421,20251231,20250930,43.77,10189866928.0,70.2984,3.615,6.0306,0.2709,1689697728.64,144951593.42,-0.05622848349555043,-0.43740819421601207,-0.07145525405543385,-0.2859429179219105,2.9277,0.8509,36.0312,984.2894,24.7642,7.7286,3.061435489392635,0.14693177537931437,22.406773618538324,66.58823529411764,72.86698463169051,58.82352941176471,53.42484077660548,1
19,300223.SZ,北京君正,20260421,20251231,20250930,120.26,58030347348.0,154.2433,4.6615,12.2401,0.083,4741007597.96,376226023.06,0.12542811336492865,0.027372662279202764,-0.0431559403317302,-0.21882933088590828,2.0917,1.6589,34.1876,178.9053,8.2157,8.4963,1.65486367212485,0.07050869795355477,31.583600713012476,60.15686274509804,47.09856915739269,79.41176470588236,51.86146071204895,1
20,002049.SZ,紫光国微,20260421,20241231,20250930,70.27,59703381484.0,41.5436,4.4024,9.7145,0.2966,5511073894.21,1179318545.51,-0.2715393222937389,-0.5339957147940182,0.010433331904679655,-0.15488062204108388,9.8294,8.4659,56.6007,21.438,27.0229,4.7061,1.2442601339788373,0.014310485951770886,26.918003565062392,64.76470588235294,75.34446210916799,36.666666666666664,51.31194055017585,1
