代码,名称,行业,价格日期,收盘价,市值(亿元),PE_TTM,PB,PS_TTM,股息率TTM%,2025收入(亿),2025净利(亿),2025收入同比%,2025净利同比%,2026Q1收入(亿),2026Q1净利(亿),Q1收入同比%,Q1净利同比%,2025毛利率%,Q1毛利率%,2025毛利率变动pct,Q1毛利率较2025pct,2025ROE%,2025资产负债率%,OCF/净利,2025利润较近年峰值%,筑底左侧评分,入选理由
601233.SH,桐昆股份,化纤,20260507,22.32,530.99,16.0,1.32,0.54,0.45,938.91,20.33,-7.32,69.13,233.61,18.98,20.3,210.59,,,,,,,3.16,-72.28,57.83,Q1净利同比+211%；利润仍低于近年峰值72%；PB 1.32x；PS 0.54x
601699.SH,潞安环能,煤炭开采,20260507,15.72,470.25,39.95,1.01,1.67,2.61,278.2,11.15,-22.4,-54.47,72.63,7.19,4.24,9.4,32.99,36.66,-3.95,3.67,2.44,41.56,4.48,-92.13,57.53,Q1净利同比转正+9%；Q1毛利率较2025年+3.7pct；利润仍低于近年峰值92%；PB 1.01x
600269.SH,赣粤高速,路桥,20260507,4.44,103.69,9.2,0.53,1.67,3.83,62.83,12.8,4.98,0.03,14.98,2.75,-4.04,-35.77,37.72,50.01,-1.56,12.28,6.71,43.22,2.32,0.0,57.51,Q1毛利率较2025年+12.3pct；PB 0.53x；PS 1.67x；经营现金流覆盖利润
600548.SH,深高速,路桥,20260507,9.03,229.17,19.41,0.98,2.48,2.7,92.64,11.49,0.2,0.38,17.59,5.09,-0.7,6.54,30.3,39.38,-1.29,9.07,4.7,55.04,4.02,-55.9,57.07,Q1净利同比转正+7%；Q1毛利率较2025年+9.1pct；利润仍低于近年峰值56%；PB 0.98x
601880.SH,辽港股份,港口,20260507,1.64,386.58,26.45,0.95,3.38,1.46,113.59,13.07,2.64,14.23,26.06,3.59,3.1,75.87,28.62,29.27,7.12,0.66,3.26,23.52,4.35,-31.8,57.06,Q1净利同比+76%；利润仍低于近年峰值32%；PB 0.95x；经营现金流覆盖利润
002004.SZ,华邦健康,农药化肥,20260507,4.84,95.83,14.02,0.92,0.83,4.12,115.12,7.13,-1.31,338.53,28.19,1.55,-0.08,-16.01,36.92,35.87,2.8,-1.05,7.29,41.51,2.94,0.0,57.01,PB 0.92x；PS 0.83x；经营现金流覆盖利润
603995.SH,甬金股份,特种钢,20260507,19.77,72.28,12.65,1.22,0.17,4.02,426.46,5.49,1.88,-31.86,98.49,1.26,4.91,21.79,4.88,4.62,-0.86,-0.27,9.41,54.06,2.15,-31.86,56.98,Q1净利同比转正+22%；利润仍低于近年峰值32%；PB 1.22x；PS 0.17x
601518.SH,吉林高速,路桥,20260507,2.91,55.02,11.19,0.94,3.99,2.96,13.68,4.91,-7.85,-8.91,2.65,1.15,4.97,0.7,54.12,67.54,1.42,13.42,8.84,8.13,1.67,-10.18,56.69,Q1净利同比转正+1%；Q1毛利率较2025年+13.4pct；PB 0.94x；经营现金流覆盖利润
002258.SZ,利尔化学,农药化肥,20260507,12.48,99.89,22.66,1.25,1.08,3.21,90.08,4.79,23.21,122.33,23.12,1.15,10.85,-24.82,18.91,18.27,2.85,-0.64,6.13,42.6,2.71,-73.59,56.65,利润仍低于近年峰值74%；PB 1.25x；PS 1.08x；经营现金流覆盖利润
000709.SZ,河钢股份,普钢,20260507,2.38,246.02,22.51,0.47,0.21,1.26,1181.37,10.02,-2.86,41.64,313.01,3.23,-3.81,39.06,,,,,,,9.88,-62.73,56.65,Q1净利同比+39%；利润仍低于近年峰值63%；PB 0.47x；PS 0.21x
600888.SH,新疆众和,铝,20260507,8.69,134.96,19.14,1.05,1.73,2.81,78.94,6.62,7.83,-44.99,17.88,2.65,-4.85,19.52,8.98,20.7,-1.87,11.72,5.86,42.67,0.56,-57.61,56.52,Q1净利同比转正+20%；Q1毛利率较2025年+11.7pct；利润仍低于近年峰值58%；PB 1.05x
600125.SH,铁龙物流,铁路,20260507,6.1,79.64,14.77,1.02,0.7,2.3,114.94,5.25,-11.69,37.48,25.5,2.16,-4.6,6.91,8.84,13.05,1.6,4.21,7.05,25.96,1.31,0.0,56.37,Q1净利同比转正+7%；Q1毛利率较2025年+4.2pct；PB 1.02x；PS 0.70x
600985.SH,淮北矿业,煤炭开采,20260507,13.83,372.48,28.53,0.89,0.91,5.42,412.38,15.06,-37.4,-68.98,101.97,4.91,-3.8,-29.0,18.44,16.95,0.15,-1.48,3.59,48.79,3.6,-78.52,56.16,利润仍低于近年峰值79%；PB 0.89x；PS 0.91x；经营现金流覆盖利润
603916.SH,苏博特,化工原料,20260507,11.98,51.07,40.26,1.2,1.43,0.85,35.56,1.21,0.02,26.19,6.96,0.3,2.04,24.08,33.13,34.48,0.34,1.35,2.81,41.38,3.06,-77.29,56.01,Q1净利同比转正+24%；利润仍低于近年峰值77%；PB 1.20x；PS 1.43x
002054.SZ,德美化工,染料涂料,20260507,8.67,41.8,31.29,1.62,1.32,0.81,29.98,1.18,-1.9,93.78,8.52,0.47,23.91,48.61,26.74,35.25,2.94,8.52,4.72,52.22,3.42,-42.69,56.01,Q1净利同比+49%；Q1毛利率较2025年+8.5pct；利润仍低于近年峰值43%；PS 1.32x
600801.SH,华新建材,水泥,20260507,21.49,446.78,13.75,1.36,1.2,3.72,353.48,28.53,3.31,18.09,,,,,30.22,30.85,5.53,0.63,9.15,53.87,2.35,-46.8,55.98,利润仍低于近年峰值47%；PB 1.36x；PS 1.20x；经营现金流覆盖利润
000983.SZ,山西焦煤,煤炭开采,20260507,6.97,395.69,29.8,1.07,1.07,3.67,371.55,12.01,-17.96,-61.37,88.61,8.08,-1.82,18.62,30.52,28.6,-0.85,-1.92,3.33,57.1,4.91,-88.8,55.92,Q1净利同比转正+19%；利润仍低于近年峰值89%；PB 1.07x；PS 1.07x
600449.SH,宁夏建材,水泥,20260507,13.22,63.22,33.99,0.86,1.33,1.59,51.73,1.82,-40.22,-24.57,4.61,-0.05,-47.44,46.17,13.56,6.99,6.23,-6.57,2.49,21.16,5.45,-77.27,55.24,Q1净利同比+46%；利润仍低于近年峰值77%；PB 0.86x；PS 1.33x
000825.SZ,太钢不锈,特种钢,20260507,4.27,243.23,,0.74,0.27,,903.75,0.52,-9.97,105.25,222.13,0.2,-4.71,-89.26,1.9,0.97,0.69,-0.93,0.16,43.53,60.53,-99.18,54.8,利润仍低于近年峰值99%；PB 0.74x；PS 0.27x；经营现金流覆盖利润
000959.SZ,首钢股份,普钢,20260507,4.58,355.18,42.19,0.71,0.35,0.48,1029.18,9.96,-4.98,111.35,250.78,1.74,-5.48,-46.91,5.02,4.64,0.97,-0.38,1.99,55.73,8.17,-85.81,54.4,利润仍低于近年峰值86%；PB 0.71x；PS 0.35x；经营现金流覆盖利润
603113.SH,金能科技,化工原料,20260507,5.82,49.38,,0.68,0.31,6.1,169.13,0.22,3.98,138.08,,,,,1.42,-15.33,-0.39,-16.75,0.26,57.28,24.85,-97.64,54.13,利润仍低于近年峰值98%；PB 0.68x；PS 0.31x；经营现金流覆盖利润
603681.SH,永冠新材,化工原料,20260507,18.6,44.22,32.11,1.31,0.66,0.63,66.91,1.24,7.83,-24.05,15.84,0.27,3.77,104.86,7.63,7.62,-0.31,-0.01,4.77,62.94,4.21,-45.52,54.1,Q1净利同比+105%；利润仍低于近年峰值46%；PB 1.31x；PS 0.66x
000828.SZ,东莞控股,路桥,20260507,10.32,107.28,12.07,1.02,6.96,4.6,15.52,8.24,-8.28,-13.79,3.55,2.84,-2.88,29.83,67.96,70.22,2.49,2.26,8.23,34.72,2.82,-13.79,53.74,Q1净利同比转正+30%；Q1毛利率较2025年+2.3pct；PB 1.02x；经营现金流覆盖利润
601018.SH,宁波港,港口,20260507,3.73,725.65,14.05,0.89,2.26,3.7,310.2,51.68,8.08,5.53,81.91,11.7,16.04,-0.41,28.86,27.88,-0.46,-0.98,6.5,26.99,2.6,0.0,53.59,PB 0.89x；经营现金流覆盖利润
002274.SZ,华昌化工,农药化肥,20260507,6.31,60.09,,1.14,0.92,4.75,65.06,-2.04,-17.96,-139.19,18.29,0.48,3.24,69.61,4.51,8.43,-9.34,3.92,-3.73,31.33,0.83,-112.51,53.2,Q1净利同比+70%；Q1毛利率较2025年+3.9pct；利润仍低于近年峰值113%；PB 1.14x
601001.SH,晋控煤业,煤炭开采,20260507,18.16,303.94,18.33,1.55,2.21,4.16,131.09,18.31,-12.8,-34.78,30.46,3.39,25.66,-33.9,42.17,33.12,-7.12,-9.05,9.75,23.17,1.7,-60.68,53.18,利润仍低于近年峰值61%；经营现金流覆盖利润
600496.SH,精工钢构,钢加工,20260507,4.23,84.18,13.32,0.9,0.4,1.89,208.38,6.05,12.69,18.23,48.44,1.51,0.51,21.94,10.81,11.75,-1.85,0.94,6.6,66.65,1.3,-14.32,52.98,Q1净利同比转正+22%；PB 0.90x；PS 0.40x；经营现金流覆盖利润
600179.SH,安通控股,水运,20260507,4.32,182.8,16.64,1.51,2.0,,90.8,10.86,20.28,77.9,21.2,2.54,3.83,5.12,18.7,18.07,6.66,-0.63,9.6,24.38,1.99,-53.63,52.96,Q1净利同比转正+5%；利润仍低于近年峰值54%；PS 2.00x；经营现金流覆盖利润
600295.SH,鄂尔多斯,特种钢,20260507,15.67,438.57,17.14,1.95,1.69,3.83,257.41,23.63,-9.37,27.93,58.59,6.55,4.57,42.8,25.31,22.88,4.66,-2.43,11.06,41.67,1.91,-61.21,52.87,Q1净利同比+43%；利润仍低于近年峰值61%；PS 1.69x；经营现金流覆盖利润
001872.SZ,招商港口,港口,20260507,22.37,555.2,11.93,0.85,3.18,3.31,172.46,46.11,6.92,2.1,44.08,11.32,4.58,3.78,44.01,47.53,1.02,3.52,7.33,35.96,1.77,0.0,52.79,Q1净利同比转正+4%；Q1毛利率较2025年+3.5pct；PB 0.85x；经营现金流覆盖利润
001965.SZ,招商公路,路桥,20260507,9.5,645.53,13.94,0.92,4.57,4.39,133.6,46.1,5.11,-13.38,35.57,13.49,26.9,1.5,29.83,25.87,-4.26,-3.96,6.34,43.58,1.41,-31.87,52.79,Q1净利同比转正+1%；利润仍低于近年峰值32%；PB 0.92x；经营现金流覆盖利润
603639.SH,海利尔,农药化肥,20260507,12.39,43.32,28.44,1.23,1.06,3.92,42.03,1.82,7.55,0.32,11.62,0.75,-8.09,-28.22,24.97,25.19,1.04,0.22,5.31,48.89,2.27,-61.55,52.6,利润仍低于近年峰值62%；PB 1.23x；PS 1.06x；经营现金流覆盖利润
002128.SZ,电投能源,煤炭开采,20260507,31.32,702.06,11.98,1.77,2.27,3.51,301.15,54.19,0.86,1.45,84.13,20.01,11.62,28.35,36.83,46.52,2.78,9.69,14.89,22.75,1.7,0.0,52.4,Q1净利同比转正+28%；Q1毛利率较2025年+9.7pct；经营现金流覆盖利润
