ts_code,trade_date,close,settle,vol,oi
LC.GFE,20260126,165680.0,176940.0,575675.0,416719.0
LC.GFE,20260127,179600.0,173020.0,382313.0,422433.0
LC.GFE,20260128,166280.0,170340.0,473223.0,410985.0
LC.GFE,20260129,164820.0,166500.0,521334.0,402347.0
LC.GFE,20260130,148200.0,153980.0,552668.0,372601.0
LC.GFE,20260202,132440.0,141540.0,644314.0,347698.0
LC.GFE,20260203,148100.0,145300.0,619542.0,355770.0
LC.GFE,20260204,147220.0,148660.0,311897.0,359912.0
LC.GFE,20260205,132780.0,136720.0,531724.0,329777.0
LC.GFE,20260206,132920.0,132300.0,586706.0,328575.0
LC.GFE,20260209,137000.0,137300.0,305321.0,344071.0
LC.GFE,20260210,137340.0,137620.0,295231.0,345989.0
LC.GFE,20260211,150260.0,144140.0,351877.0,356531.0
LC.GFE,20260212,149420.0,149340.0,304798.0,353975.0
LC.GFE,20260213,152640.0,148440.0,300191.0,342226.0
LC.GFE,20260224,164120.0,161000.0,214364.0,365180.0
LC.GFE,20260225,166480.0,167840.0,322727.0,377037.0
LC.GFE,20260226,173660.0,177120.0,402461.0,375204.0
LC.GFE,20260227,176040.0,173680.0,281980.0,381552.0
LC.GFE,20260302,172020.0,173380.0,227061.0,378336.0
LC.GFE,20260303,150860.0,157560.0,445115.0,339604.0
LC.GFE,20260304,153060.0,151320.0,297139.0,339011.0
LC.GFE,20260305,155860.0,155500.0,300505.0,332374.0
LC.GFE,20260306,156160.0,156460.0,228224.0,333903.0
LC.GFE,20260309,161060.0,156500.0,402478.0,330671.0
LC.GFE,20260310,163000.0,163440.0,226273.0,332517.0
LC.GFE,20260311,155040.0,159840.0,267346.0,330436.0
LC.GFE,20260312,156980.0,156140.0,219828.0,325382.0
LC.GFE,20260313,152080.0,156880.0,288572.0,316964.0
LC.GFE,20260316,159620.0,154720.0,231813.0,310683.0
LC.GFE,20260317,155320.0,157080.0,173439.0,308842.0
LC.GFE,20260318,150120.0,152300.0,205889.0,307422.0
LC.GFE,20260319,142600.0,145360.0,288571.0,282745.0
LC.GFE,20260320,143860.0,147540.0,258276.0,276578.0
LC.GFE,20260323,149040.0,144140.0,228178.0,269477.0
LC.GFE,20260324,152940.0,152500.0,231071.0,260696.0
LC.GFE,20260325,159120.0,158220.0,233304.0,251957.0
LC.GFE,20260326,157200.0,158720.0,260930.0,246385.0
LC.GFE,20260327,168440.0,164180.0,324620.0,247637.0
LC.GFE,20260330,171620.0,170820.0,199887.0,237761.0
LC.GFE,20260331,157200.0,162880.0,296998.0,217916.0
