ts_code,trade_date,pe_ttm,pb,ps_ttm,close,total_mv
300274.SZ,20230419,75.7701,9.4829,5.2291,109.1,16203433.6354
300274.SZ,20230420,73.3949,9.1856,5.0652,105.68,15695498.3189
300274.SZ,20230421,76.3952,9.5611,5.2723,110.0,16337100.824
300274.SZ,20230424,71.8115,8.9875,4.9559,103.4,15356874.7746
300274.SZ,20230425,32.442,7.5401,3.1522,102.45,15215781.6311
300274.SZ,20230426,37.2015,8.6463,3.6147,117.48,17448023.68
300274.SZ,20230427,36.8721,8.5697,3.5827,116.44,17293563.8177
300274.SZ,20230428,35.7005,8.2974,3.4688,112.74,16744043.1536
300274.SZ,20230504,35.7828,8.3166,3.4768,113.0,16782658.1192
300274.SZ,20230505,34.0443,7.9125,3.3079,107.51,15967288.269
300274.SZ,20230508,34.1362,7.9339,3.3168,107.8,16010358.8075
300274.SZ,20230509,33.9145,7.8823,3.2953,107.1,15906395.4386
300274.SZ,20230510,34.7822,8.084,3.3796,109.84,16313337.7683
300274.SZ,20230511,35.1811,8.1767,3.4184,111.1,16500471.8322
300274.SZ,20230512,34.3895,7.9927,3.3415,108.6,16129174.0862
300274.SZ,20230515,36.888,8.5734,3.5842,116.49,17300989.7726
300274.SZ,20230516,36.8975,8.5756,3.5851,116.52,17305445.3456
300274.SZ,20230517,37.04,8.6087,3.599,116.97,17372278.9398
300274.SZ,20230518,36.0203,8.3718,3.4999,113.75,16894047.443
300274.SZ,20230519,36.3148,8.4402,3.5285,114.68,17032170.2045
300274.SZ,20230522,36.0361,8.3754,3.5015,113.8,16901473.3979
300274.SZ,20230523,36.2103,8.4159,3.5184,114.35,16983158.902
300274.SZ,20230524,37.1445,8.633,3.6091,117.3,17421290.2423
300274.SZ,20230525,38.0089,8.834,3.6931,120.03,17826747.381
300274.SZ,20230526,36.109,8.3924,3.5085,114.03,16935632.7906
300274.SZ,20230529,34.6428,8.0516,3.3661,109.4,16247989.365
300274.SZ,20230530,35.0228,8.1399,3.403,110.6,16426212.283
300274.SZ,20230531,34.8772,8.1061,3.3888,110.14,16357893.4978
300274.SZ,20230601,34.0855,7.9221,3.3119,107.64,15986595.7518
300274.SZ,20230602,34.1868,7.9456,3.3218,107.96,16034121.8633
300274.SZ,20230605,32.9582,7.6601,3.2024,104.08,15457867.7615
300274.SZ,20230606,33.2337,7.7241,3.2292,104.95,15587079.3771
300274.SZ,20230607,32.3502,7.642,3.1433,102.16,15172711.0925
300274.SZ,20230608,32.5877,7.6981,3.1664,102.91,15284100.4163
300274.SZ,20230609,32.8442,7.7586,3.1913,103.72,15404400.886
300274.SZ,20230612,33.3667,7.8821,3.2421,105.37,15649457.3984
300274.SZ,20230613,33.0943,7.8177,3.2156,104.51,15521730.9738
300274.SZ,20230614,32.67,7.7175,3.1744,103.17,15322715.3819
300274.SZ,20230615,35.0767,8.286,3.4082,110.77,16451460.5298
300274.SZ,20230616,36.128,8.5344,3.5104,114.09,16944543.9365
300274.SZ,20230619,36.0836,8.5239,3.5061,113.95,16923751.2627
300274.SZ,20230620,35.9601,8.4947,3.4941,113.56,16865828.8143
300274.SZ,20230621,35.8303,8.464,3.4815,113.15,16804935.984
300274.SZ,20230626,36.489,8.6196,3.5455,115.23,17113855.7086
300274.SZ,20230627,37.0305,8.7476,3.5981,116.94,17367823.3669
300274.SZ,20230628,36.8943,8.7154,3.5848,116.51,17303960.1546
300274.SZ,20230629,36.7486,8.681,3.5707,116.05,17235641.3693
300274.SZ,20230630,36.9323,8.7244,3.5885,116.63,17321782.4464
300274.SZ,20230703,38.8829,9.1852,3.7781,122.79,18236660.0925
300274.SZ,20230704,38.0343,8.9847,3.6956,120.11,17838628.9088
300274.SZ,20230705,37.8538,8.942,3.6781,119.54,17753973.0227
300274.SZ,20230706,37.4928,8.8568,3.643,118.4,17584661.2506
300274.SZ,20230707,36.6061,8.6473,3.5568,115.6,17168807.775
300274.SZ,20230710,37.287,8.8081,3.623,117.75,17488123.8366
300274.SZ,20230711,37.1096,8.7663,3.6058,117.19,17404953.1415
300274.SZ,20230712,37.4801,8.8538,3.6418,118.36,17578720.4866
300274.SZ,20230713,37.6384,8.8912,3.6571,118.86,17652980.0358
300274.SZ,20230714,36.052,8.5164,3.503,113.85,16908899.3528
300274.SZ,20230717,36.1913,8.5493,3.5165,114.29,16974247.7561
300274.SZ,20230718,35.7986,8.4566,3.4784,113.05,16790084.0741
300274.SZ,20230719,35.0545,8.2808,3.4061,110.7,16441064.1929
300274.SZ,20230720,34.6324,8.1811,3.3651,109.37,16243096.312
300274.SZ,20230721,34.3474,8.1138,3.3374,108.47,16109432.7234
300274.SZ,20230724,33.8503,7.9964,3.2891,106.9,15876264.019
300274.SZ,20230725,34.2809,8.0981,3.3309,108.26,16078244.5528
300274.SZ,20230726,34.6356,8.1819,3.3654,109.38,16244581.463
300274.SZ,20230727,34.4836,8.146,3.3506,108.9,16173294.2158
300274.SZ,20230728,34.5247,8.1557,3.3546,109.03,16192601.1786
300274.SZ,20230731,35.3069,8.3405,3.4306,111.5,16559433.4716
300274.SZ,20230801,33.5969,7.9365,3.2644,106.1,15757451.9402
300274.SZ,20230802,33.16,7.8333,3.222,104.72,15552501.1044
300274.SZ,20230803,33.6824,7.9567,3.2728,106.37,15797551.0168
300274.SZ,20230804,35.0662,8.2836,3.4072,110.74,16446561.9968
300274.SZ,20230807,34.5152,8.1535,3.3537,109.0,16188145.7256
300274.SZ,20230808,35.1485,8.3031,3.4152,111.0,16485175.9224
300274.SZ,20230809,35.7818,8.4527,3.4767,113.0,16782206.1192
300274.SZ,20230810,36.4341,8.6068,3.5401,115.06,17088147.2219
300274.SZ,20230811,35.3417,8.3487,3.434,111.61,16575770.1324
300274.SZ,20230814,35.3069,8.3405,3.4306,111.5,16559433.4716
300274.SZ,20230815,34.4677,8.1423,3.3491,108.85,16165868.4608
300274.SZ,20230816,33.8788,8.0031,3.2918,106.99,15889630.3778
300274.SZ,20230817,33.7616,7.9754,3.2804,106.62,15834679.7914
300274.SZ,20230818,33.9231,8.0136,3.2961,107.13,15910422.4916
300274.SZ,20230821,31.5767,7.4593,3.0681,99.72,14809925.6124
300274.SZ,20230822,31.3804,7.4129,3.0491,99.1,14717846.2514
300274.SZ,20230823,29.9016,7.0636,2.9054,94.43,14024280.7419
300274.SZ,20230824,31.4437,7.4279,3.0552,99.3,14747549.2711
300274.SZ,20230825,20.6912,6.2827,2.5763,98.18,14581212.3609
300274.SZ,20230828,21.117,6.4119,2.6293,100.2,14881212.8597
300274.SZ,20230829,21.5764,6.5514,2.6865,102.38,15204975.7742
300274.SZ,20230830,21.3888,6.4945,2.6631,101.49,15072797.3366
300274.SZ,20230831,21.0221,6.3831,2.6175,99.75,14814381.0654
300274.SZ,20230901,21.1781,6.4305,2.6369,100.49,14924282.2382
300274.SZ,20230904,21.0664,6.3966,2.623,99.96,14845569.2361
300274.SZ,20230905,20.9273,6.3543,2.6057,99.3,14747549.2711
300274.SZ,20230906,20.5521,6.2404,2.5589,97.52,14483192.396
300274.SZ,20230907,20.2213,6.14,2.5178,95.95,14250023.6915
300274.SZ,20230908,19.6291,5.9601,2.444,93.14,13832696.265
300274.SZ,20230911,19.4731,5.9128,2.4246,92.4,13722795.0922
300274.SZ,20230912,19.197,5.829,2.3902,91.09,13528240.3133
300274.SZ,20230913,19.2856,5.8558,2.4012,91.51,13590616.6546
300274.SZ,20230914,18.7819,5.7029,2.3385,89.12,13235665.5694
300274.SZ,20230915,18.529,5.6261,2.307,87.92,13057447.4513
300274.SZ,20230918,18.7861,5.7042,2.3391,89.14,13238635.8714
300274.SZ,20230919,18.4299,5.596,2.2947,87.45,12987645.3551
300274.SZ,20230920,18.255,5.5429,2.2729,86.62,12864377.8234
