ts_code,name,industry,market,list_date,act_name,total_mv,pe_ttm,pb,employees,mv_亿,top1_holder,top1_hold_ratio,latest_holder_end_date,founder_best_ratio,founder_best_rank,mgr_latest_ann_date,mgr_count,mgr_avg_age,mgr_high_edu_ratio,mgr_high_edu_count,mgr_edu_sample_n,founder_major_holder,young_mgmt,high_edu_mgmt,mgr_data_ok,all_match_proxy
301365.SZ,矩阵股份,建筑工程,创业板,20221122,王冠,557280.0,96.3663,3.3157,576.0,55.728,王冠,22.0588,20250930,22.0588,1.0,20250918,1.0,37.0,0.0,0.0,1.0,True,True,False,False,False
603051.SH,鹿山新材,塑料,主板,20220325,汪加胜,369816.066,,2.1005,699.0,36.9816066,汪加胜,31.3918,20250930,31.3918,1.0,,,,,,,True,False,False,False,False
301609.SZ,山大电力,电气设备,创业板,20250723,山东大学,793551.36,59.7546,6.4441,561.0,79.355136,山东山大资本运营有限公司,30.111,20250930,,,20250926,15.0,54.13333333333333,0.6666666666666666,10.0,15.0,False,False,True,True,False
920906.BJ,舜宇精工,汽车配件,北交所,20230222,倪文军,161125.6,48.2753,2.7836,1233.0,16.112560000000002,倪文军,40.4796,20250930,40.4796,1.0,20250917,3.0,50.333333333333336,0.0,0.0,3.0,True,False,False,True,False
605588.SH,冠石科技,元器件,主板,20210812,张建巍,412760.7845,,4.2842,775.0,41.27607845,张建巍,57.3491,20251231,57.3491,1.0,20251217,9.0,48.77777777777778,0.2222222222222222,2.0,9.0,True,False,False,True,False
688429.SH,时创能源,电气设备,科创板,20230629,符黎明,598001.196,,4.3505,1377.0,59.8001196,南京时创创业投资有限公司,35.7353,20250930,,,20250812,3.0,42.333333333333336,0.6666666666666666,2.0,3.0,False,True,True,True,False
001376.SZ,百通能源,供气供热,主板,20231103,张春龙,735596.4,42.1594,6.2884,565.0,73.55964,南昌百通环保科技有限公司,19.527,20250930,11.7162,3.0,20251211,3.0,36.666666666666664,0.0,0.0,3.0,True,True,False,True,False
605555.SH,德昌股份,家用电器,主板,20211021,黄裕昌,783223.7067,28.8782,2.5949,4984.0,78.32237067,黄裕昌,24.3632,20250930,24.3632,1.0,20251213,11.0,48.27272727272727,0.2727272727272727,3.0,11.0,True,False,False,True,False
920807.BJ,奔朗新材,机械基件,北交所,20221220,尹育航,232988.28,99.8223,2.4804,813.0,23.298828,尹育航,33.7517,20250930,33.7517,1.0,20250918,1.0,34.0,1.0,1.0,1.0,True,True,True,False,False
605300.SH,佳禾食品,乳制品,主板,20210430,柳新荣,494385.6735,181.208,1.7265,1006.0,49.43856735,柳新荣,28.3948,20250930,28.3948,1.0,20251014,1.0,49.0,1.0,1.0,1.0,True,False,True,False,False
920207.BJ,众诚科技,软件服务,北交所,20220923,梁侃,292442.54,3716.7593,10.6939,290.0,29.244253999999998,河南众诚皓轩源企业管理咨询有限公司,27.5463,20250930,24.151,3.0,20250828,3.0,42.666666666666664,0.0,0.0,3.0,True,True,False,True,False
301419.SZ,阿莱德,通信设备,创业板,20230209,张耀华,565440.0,88.9113,5.8871,426.0,56.544,上海英帕学企业管理中心(有限合伙),15.0,20251231,15.0,2.0,20251218,15.0,50.333333333333336,0.42857142857142855,6.0,14.0,True,False,False,True,False
301287.SZ,康力源,文教休闲,创业板,20230614,衡墩建,288081.07,30.2877,2.4888,904.0,28.808107,衡墩建,73.5509,20250930,73.5509,1.0,20251125,1.0,47.0,0.0,0.0,1.0,True,False,False,False,False
920230.BJ,欧康医药,生物制药,北交所,20221209,赵卓君,127206.1962,110.6783,3.0433,212.0,12.72061962,赵卓君,40.3869,20251231,40.3869,1.0,20251217,1.0,53.0,0.0,0.0,1.0,True,False,False,False,False
920765.BJ,美之高,家居用品,北交所,20210705,黄华侨,133248.478,,4.3551,822.0,13.3248478,黄华侨,31.1693,20250930,31.1693,1.0,20250913,1.0,43.0,0.0,0.0,1.0,True,True,False,False,False
603206.SH,嘉环科技,通信设备,主板,20220506,宗琰,523112.7794,105.8449,2.3059,8765.0,52.31127794,宗琰,29.5968,20250930,29.5968,1.0,20251225,1.0,48.0,1.0,1.0,1.0,True,False,True,False,False
301355.SZ,南王科技,广告包装,创业板,20230612,陈凯声,245433.1934,350.7311,1.6278,2566.0,24.54331934,陈凯声,17.8372,20250930,17.8372,1.0,20251226,9.0,52.22222222222222,0.4444444444444444,4.0,9.0,True,False,False,True,False
920786.BJ,骑士乳业,乳制品,北交所,20231013,党涌涛,182921.375,36.1547,2.4037,1010.0,18.2921375,党涌涛,26.0245,20251231,26.0245,1.0,20251001,3.0,46.0,0.0,0.0,3.0,True,False,False,True,False
001215.SZ,千味央厨,食品,主板,20210906,李伟,384075.243,68.6907,2.0567,2924.0,38.4075243,共青城城之集企业管理咨询有限公司,41.0476,20250930,,,20250624,12.0,51.25,0.4166666666666667,5.0,12.0,False,False,False,True,False
301418.SZ,协昌科技,电气设备,创业板,20230821,顾挺,293626.6693,187.9716,1.8144,557.0,29.36266693,顾挺,34.108,20250930,34.108,1.0,20250912,1.0,39.0,0.0,0.0,1.0,True,True,False,False,False
300834.SZ,星辉环材,化工原料,创业板,20220113,陈雁升,865700.5056,131.6696,2.9482,191.0,86.57005056,广东星辉控股有限公司,39.2821,20250930,2.1418,9.0,20251114,1.0,60.0,1.0,1.0,1.0,False,False,True,False,False
301313.SZ,凡拓数创,文教休闲,创业板,20220930,伍穗颖,363121.434,,5.0419,1187.0,36.312143400000004,伍穗颖,27.0061,20250930,27.0061,1.0,20251212,1.0,60.0,1.0,1.0,1.0,True,False,True,False,False
301163.SZ,宏德股份,电气设备,创业板,20220419,杨金德,257529.6,71.4725,2.2674,693.0,25.75296,杨金德,42.9647,20250930,42.9647,1.0,20251114,3.0,49.0,0.0,0.0,3.0,True,False,False,True,False
688631.SH,莱斯信息,软件服务,科创板,20230628,中国电子科技集团有限公司,968559.75,175.3593,5.0535,855.0,96.855975,中电莱斯信息系统有限公司,60.3168,20250930,,,20250815,14.0,49.642857142857146,0.35714285714285715,5.0,14.0,False,False,False,True,False
