ts_code,name,industry,list_date,trade_date,total_mv,pe_ttm,pb,fina_end_date,roe_used,roe,roe_yearly,pe_hist_n,pb_hist_n,pe_percentile_5y,pb_percentile_5y,total_revenue,n_income_attr_p,total_assets,total_liab,n_cashflow_act,market_cap_yi,debt_asset_ratio_pct,net_margin_pct,roa_est_pct,ocf_to_profit,value_score,valuation_low_by,latest_annual_end,revenue_yoy_pct,profit_yoy_pct
002545.SZ,东方铁塔,农药化肥,20110211,20260414,2736936.5826,29.5566,2.8982,20250930,12.0383,9.0287,12.0383,36,36,0.05555555555555555,0.05555555555555555,3392405946.71,828057646.0,13990118468.7,4536190416.6,1452721513.42,273.69365826,32.424245918637425,24.40915559657774,5.918875153577919,1.7543724406597654,0.05555555555555555,PE&PB,20241231,4.788213077245214,-10.967887500726418
601022.SH,宁波远洋,水运,20221208,20260414,1147671.4339,17.5461,1.8716,20250930,12.0372,9.0279,12.0372,36,36,0.05555555555555555,0.05555555555555555,6107367153.29,654090036.61,8793218615.17,2649235071.79,1406780142.66,114.76714339,30.12816111747248,10.709852874288815,7.438573578525255,2.1507438791622966,0.05555555555555555,PE&PB,20251231,15.855497963414273,18.122394801814064
600809.SH,山西汾酒,白酒,19940106,20260414,16964822.4711,13.7954,4.3746,20250930,41.358,31.0185,41.358,36,36,0.08333333333333333,0.08333333333333333,32924416755.68,11404509070.8,54550849056.82,15272941426.2,8982107362.78,1696.48224711,27.9976236672169,34.6384543587474,20.90619901978262,0.7875926361247505,0.08333333333333333,PE&PB,20241231,12.786417884409904,17.29019095143964
000981.SZ,山子高科,汽车配件,20000622,20260414,4128955.4767,,24.528,20250930,40.8389,30.6292,40.8389,0,36,,0.08333333333333333,2417735507.95,436788863.96,8853201070.76,7077685150.48,-193300195.68,412.89554767,79.94492719538356,18.066031727777933,4.933682861926731,-0.44254836061411573,0.08333333333333333,PB,20241231,-6.85232781115405,15.752482581424523
601127.SH,赛力斯,汽车整车,20160615,20260414,15658703.9381,26.2872,3.8268,20250930,35.3567,26.5175,35.3567,36,36,0.6666666666666666,0.08333333333333333,165053636639.13,5956787449.91,143905863420.75,102047535793.91,28913743329.24,1565.87039381,70.91270179557925,3.6090010321516286,4.1393639621852145,4.853915566464749,0.08333333333333333,PB,20251231,13.692234908079213,0.18234420985089655
002027.SZ,分众传媒,广告包装,20040804,20260414,9098585.8274,16.7629,6.3622,20250930,33.7604,25.3203,33.7604,36,36,0.08333333333333333,0.08333333333333333,9606726617.75,4240475945.45,23789042737.84,6960859218.3,5311219622.54,909.8585827400001,29.260778985560947,44.14069551656676,17.82533241114782,1.252505542034474,0.08333333333333333,PE&PB,20241231,3.010636513689768,6.801025482057077
603444.SH,吉比特,互联网,20170104,20260414,2576045.6896,14.3619,4.6747,20250930,31.4859,23.6144,31.4859,36,36,0.08333333333333333,0.08333333333333333,6204659480.39,1793666076.8,8622142841.81,2082967914.66,2795833396.76,257.60456896,24.158355444535108,28.908372529853278,20.803019733125478,1.5587256919905195,0.08333333333333333,PE&PB,20251231,67.88940400893947,89.82205242992197
603605.SH,珀莱雅,日用化工,20171115,20260414,2379023.8561,15.0716,4.4878,20250930,24.7068,18.5301,24.7068,36,36,0.08333333333333333,0.08333333333333333,7097899849.33,1025700052.65,8574809697.11,2796193154.16,1198467218.63,237.90238561,32.609390213084396,14.450754088152145,11.961782113901554,1.1684382929820845,0.08333333333333333,PE&PB,20241231,21.0435489079572,29.997244916599406
301345.SZ,涛涛车业,摩托车,20230321,20260414,2390355.6363,29.282,6.6023,20250930,24.5199,18.3899,24.5199,36,36,0.08333333333333333,0.2777777777777778,3941430356.32,816322513.73,5906237240.8,2285658668.69,753822365.68,239.03556362999998,38.699066351428975,20.711326597996184,13.82136342392215,0.9234369418963837,0.08333333333333333,PE&PB,20251231,32.41255964551784,89.28633128529275
601717.SH,中创智领,专用机械,20100803,20260414,3588653.8593,8.3586,1.4837,20250930,21.5475,16.1606,21.5475,36,36,0.08333333333333333,0.08333333333333333,41385128009.24,4293392302.84,51344473358.43,26433896906.75,2404162654.1,358.86538593,51.48343176531958,10.374239513966032,8.361936586374762,0.559968082234109,0.08333333333333333,PE&PB,20251231,11.69459466263261,9.140089976672494
603871.SH,嘉友国际,仓储物流,20180206,20260414,1823555.5411,17.1752,3.3168,20250930,20.5081,15.3811,20.5081,36,36,0.08333333333333333,0.08333333333333333,6570358782.76,873923591.22,7996869004.77,2072089914.57,1372330121.61,182.35555411,25.911264937990513,13.301002580149698,10.928321955739415,1.5703090469204783,0.08333333333333333,PE&PB,20241231,25.136174635395935,22.87572537083937
002215.SZ,诺普信,农药化肥,20080218,20260414,1022717.2186,15.2075,2.4687,20250930,19.2409,14.4307,19.2409,36,36,0.08333333333333333,0.08333333333333333,4085884835.85,575528351.94,12461725834.77,8093910613.43,-41263438.08,102.27172186,64.95015795361851,14.085770281390495,4.618367949760165,-0.07169662092390157,0.08333333333333333,PE&PB,20241231,28.368700297230664,148.100439025756
603505.SH,金石资源,化工原料,20170503,20260414,1479653.7733,61.0683,8.4823,20250930,18.4872,13.8654,18.4872,36,36,0.08333333333333333,0.08333333333333333,2758308544.81,235627977.49,7260497752.6,4836009631.55,462233702.32,147.96537733,66.60713626442781,8.542480787124223,3.245341924465456,1.961709756387554,0.08333333333333333,PE&PB,20241231,45.17184837652893,-26.33184333851655
300009.SZ,安科生物,生物制药,20091030,20260414,1627866.3696,22.142,3.9106,20250930,17.7328,13.2996,17.7328,36,36,0.08333333333333333,0.4166666666666667,2646519767.58,735192705.68,5547653408.8,811296771.84,863220471.02,162.78663696,14.62414307557634,27.779603790840618,13.25231862022591,1.1741417785444208,0.08333333333333333,PE,20251231,4.35627453519592,3.9952482053686853
600062.SH,华润双鹤,化学制药,19970522,20260414,1888143.005,11.4645,1.6231,20250930,16.564,12.423,16.564,36,36,0.08333333333333333,0.08333333333333333,11000795324.94,1646949551.48,17009183062.74,4508992092.88,1489514452.2,188.8143005,26.509163175257456,14.971186199112225,9.682708131278668,0.9044080620814864,0.08333333333333333,PE&PB,20251231,-1.880444327486466,1.1814787302274101
603501.SH,豪威集团,半导体,20170504,20260414,11938025.8605,29.51,3.6526,20250930,16.4915,12.3686,16.4915,36,36,0.08333333333333333,0.08333333333333333,28854805517.49,4045416530.33,43600508995.65,15446649874.69,4119514939.45,1193.80258605,35.42768245258583,14.019905723772485,9.278369962913985,1.0183166328026931,0.08333333333333333,PE&PB,20251231,12.141814132947609,21.730996944226565
603355.SH,莱克电气,家用电器,20150513,20260414,1557345.5947,16.0088,2.8504,20250930,15.742,11.8065,15.742,36,36,0.08333333333333333,0.08333333333333333,7312800981.54,621096585.15,15253653325.24,9669347351.32,592977576.65,155.73455947,63.390370458467615,8.493278932625943,4.0717890455939525,0.9547268344854786,0.08333333333333333,PE&PB,20241231,11.063438344511614,10.16738009486314
688789.SH,宏华数科,专用机械,20210708,20260414,1224840.2471,23.1582,3.4266,20250930,15.722,11.7915,15.722,36,36,0.08333333333333333,0.08333333333333333,1631981110.36,387765168.63,4780109319.16,1213995878.03,197623963.56,122.48402471,25.39682247776152,23.760395642352908,8.112056497865645,0.5096485696696754,0.08333333333333333,PE&PB,20241231,42.29921798977364,27.403699874414013
